yourlist:M201912038471C63D39733769F8E060B506551E125F0C55R	isomap:M201912038471C63D39733769F8E060B506551E125F0C55R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000203724		Q5VUE5	CA053_HUMAN	reviewed	Uncharacterized protein C1orf53	C1orf53	Homo sapiens (Human)	145
ENSG00000151414	ENSG00000151414 -> Q8TDX7-1;Q8TDX7-2	Q8TDX7	NEK7_HUMAN	reviewed	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	NEK7	Homo sapiens (Human)	302
ENSG00000116833	ENSG00000116833 -> O00482-1;O00482-2;O00482-4	O00482	NR5A2_HUMAN	reviewed	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541
ENSG00000162702	ENSG00000162702 -> Q9Y2X9-1;Q9Y2X9-2	Q9Y2X9	ZN281_HUMAN	reviewed	Zinc finger protein 281 (GC-box-binding zinc finger protein 1) (Transcription factor ZBP-99) (Zinc finger DNA-binding protein 99)	ZNF281 GZP1 ZBP99	Homo sapiens (Human)	895
ENSG00000118193		Q15058	KIF14_HUMAN	reviewed	Kinesin-like protein KIF14	KIF14 KIAA0042	Homo sapiens (Human)	1648
ENSG00000118197	ENSG00000118197 -> Q5T1V6-1;Q5T1V6-2	Q5T1V6	DDX59_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX59 (EC 3.6.4.13) (DEAD box protein 59) (Zinc finger HIT domain-containing protein 5)	DDX59 ZNHIT5	Homo sapiens (Human)	619
ENSG00000118200	ENSG00000118200 -> Q08AD1-1;Q08AD1-2;Q08AD1-3	Q08AD1	CAMP2_HUMAN	reviewed	Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1)	CAMSAP2 CAMSAP1L1 KIAA1078	Homo sapiens (Human)	1489
ENSG00000116857		Q9P0T7	TMEM9_HUMAN	reviewed	Transmembrane protein 9 (Dermal papilla-derived protein 4)	TMEM9 DERP4 TMEM9A HSPC186 PSEC0012 UNQ631/PRO1248	Homo sapiens (Human)	183
ENSG00000174307		Q9Y5J5	PHLA3_HUMAN	reviewed	Pleckstrin homology-like domain family A member 3 (TDAG51/Ipl homolog 1)	PHLDA3 TIH1	Homo sapiens (Human)	127
ENSG00000159176		P21291	CSRP1_HUMAN	reviewed	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	Homo sapiens (Human)	193
ENSG00000134369	ENSG00000134369 -> Q8NEY1-1;Q8NEY1-5	Q8NEY1	NAV1_HUMAN	reviewed	Neuron navigator 1 (Pore membrane and/or filament-interacting-like protein 3) (Steerin-1) (Unc-53 homolog 1) (unc53H1)	NAV1 KIAA1151 KIAA1213 POMFIL3 STEERIN1	Homo sapiens (Human)	1877
ENSG00000198700		Q96P70	IPO9_HUMAN	reviewed	Importin-9 (Imp9) (Ran-binding protein 9) (RanBP9)	IPO9 IMP9 KIAA1192 RANBP9 HSPC273	Homo sapiens (Human)	1041
ENSG00000198892		Q96DD7	SHSA4_HUMAN	reviewed	Protein shisa-4 (Transmembrane protein 58)	SHISA4 C1orf40 TMEM58 UNQ583/PRO1153	Homo sapiens (Human)	197
ENSG00000134375		Q99595	TI17A_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim17-A (Inner membrane preprotein translocase Tim17a)	TIMM17A MIMT17 TIM17 TIM17A TIMM17	Homo sapiens (Human)	171
ENSG00000176393		Q9H4A4	AMPB_HUMAN	reviewed	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase)	RNPEP APB	Homo sapiens (Human)	650
ENSG00000163435	ENSG00000163435 -> P78545-1	P78545	ELF3_HUMAN	reviewed	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	ELF3 ERT ESX JEN	Homo sapiens (Human)	371
ENSG00000143862		Q96BM9	ARL8A_HUMAN	reviewed	ADP-ribosylation factor-like protein 8A (ADP-ribosylation factor-like protein 10B) (Novel small G protein indispensable for equal chromosome segregation 2)	ARL8A ARL10B GIE2	Homo sapiens (Human)	186
ENSG00000077152		Q9NPD8	UBE2T_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T)	UBE2T HSPC150 PIG50	Homo sapiens (Human)	197
ENSG00000077157	ENSG00000077157 -> O60237-1;O60237-2;O60237-3;O60237-4;O60237-5;O60237-6	O60237	MYPT2_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2)	PPP1R12B MYPT2	Homo sapiens (Human)	982
ENSG00000117139	ENSG00000117139 -> Q9UGL1-1;Q9UGL1-2	Q9UGL1	KDM5B_HUMAN	reviewed	Lysine-specific demethylase 5B (EC 1.14.11.-) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1)	KDM5B JARID1B PLU1 RBBP2H1	Homo sapiens (Human)	1544
ENSG00000183155		P47224	MSS4_HUMAN	reviewed	Guanine nucleotide exchange factor MSS4 (Rab-interacting factor)	RABIF MSS4 RASGRF3	Homo sapiens (Human)	123
ENSG00000117153	ENSG00000117153 -> Q53G59-1	Q53G59	KLH12_HUMAN	reviewed	Kelch-like protein 12 (CUL3-interacting protein 1) (DKIR homolog) (hDKIR)	KLHL12 C3IP1	Homo sapiens (Human)	568
ENSG00000159346		Q96A54	PAQR1_HUMAN	reviewed	Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I)	ADIPOR1 PAQR1 TESBP1A CGI-45	Homo sapiens (Human)	375
ENSG00000159348		Q9UHQ9	NB5R1_HUMAN	reviewed	NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)	CYB5R1 NQO3A2 UNQ3049/PRO9865	Homo sapiens (Human)	305
ENSG00000163444	ENSG00000163444 -> Q8IXX5-1	Q8IXX5	T183A_HUMAN	reviewed	Transmembrane protein 183A	TMEM183A C1orf37	Homo sapiens (Human)	376
ENSG00000159388		P78543	BTG2_HUMAN	reviewed	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	BTG2 PC3	Homo sapiens (Human)	158
ENSG00000058668	ENSG00000058668 -> P23634-2;P23634-6	P23634	AT2B4_HUMAN	reviewed	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	ATP2B4 ATP2B2 MXRA1	Homo sapiens (Human)	1241
ENSG00000182004		P62304	RUXE_HUMAN	reviewed	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92
ENSG00000143842		Q9UN79	SOX13_HUMAN	reviewed	Transcription factor SOX-13 (Islet cell antigen 12) (SRY (Sex determining region Y)-box 13) (Type 1 diabetes autoantigen ICA12)	SOX13	Homo sapiens (Human)	622
ENSG00000158615		Q5SWA1	PR15B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 15B	PPP1R15B	Homo sapiens (Human)	713
ENSG00000133056		O00750	P3C2B_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	PIK3C2B	Homo sapiens (Human)	1634
ENSG00000198625	ENSG00000198625 -> O15151-1;O15151-4;O15151-5	O15151	MDM4_HUMAN	reviewed	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	MDM4 MDMX	Homo sapiens (Human)	490
ENSG00000163531	ENSG00000163531 -> O94856-10;O94856-2;O94856-3;O94856-8;O94856-9	O94856	NFASC_HUMAN	reviewed	Neurofascin	NFASC KIAA0756	Homo sapiens (Human)	1347
ENSG00000174529		Q6P7N7	TMM81_HUMAN	reviewed	Transmembrane protein 81	TMEM81 UNQ2788/PRO7178	Homo sapiens (Human)	255
ENSG00000117222	ENSG00000117222 -> Q15291-1;Q15291-2	Q15291	RBBP5_HUMAN	reviewed	Retinoblastoma-binding protein 5 (RBBP-5) (Retinoblastoma-binding protein RBQ-3)	RBBP5 RBQ3	Homo sapiens (Human)	538
ENSG00000133059	ENSG00000133059 -> Q6XUX3-1;Q6XUX3-2;Q6XUX3-4	Q6XUX3	DUSTY_HUMAN	reviewed	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)	DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P	Homo sapiens (Human)	929
ENSG00000133069	ENSG00000133069 -> O75069-1;O75069-2;O75069-3;O75069-5	O75069	TMCC2_HUMAN	reviewed	Transmembrane and coiled-coil domains protein 2 (Cerebral protein 11)	TMCC2 KIAA0481 hucep-11	Homo sapiens (Human)	709
ENSG00000163545		Q9H093	NUAK2_HUMAN	reviewed	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	NUAK2 OMPHK2 SNARK	Homo sapiens (Human)	628
ENSG00000174514	ENSG00000174514 -> Q8N468-1	Q8N468	MFD4A_HUMAN	reviewed	Major facilitator superfamily domain-containing protein 4A (Major facilitator superfamily domain-containing protein 4)	MFSD4A MFSD4 UNQ3064/PRO9894	Homo sapiens (Human)	514
ENSG00000158711	ENSG00000158711 -> P28324-1;P28324-2	P28324	ELK4_HUMAN	reviewed	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	ELK4 SAP1	Homo sapiens (Human)	431
ENSG00000158715		Q96JT2	S45A3_HUMAN	reviewed	Solute carrier family 45 member 3 (Prostate cancer-associated protein 6) (Prostein)	SLC45A3 PCANAP6 PRST	Homo sapiens (Human)	553
ENSG00000069275	ENSG00000069275 -> Q9H1E3-1	Q9H1E3	NUCKS_HUMAN	reviewed	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1)	NUCKS1 NUCKS JC7	Homo sapiens (Human)	243
ENSG00000117280	ENSG00000117280 -> O14966-1;O14966-2;O14966-3	O14966	RAB7L_HUMAN	reviewed	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	RAB29 RAB7L1	Homo sapiens (Human)	203
ENSG00000133065		Q8IVJ1	S41A1_HUMAN	reviewed	Solute carrier family 41 member 1	SLC41A1	Homo sapiens (Human)	513
ENSG00000196550	ENSG00000196550 -> Q5TYM5-1;Q5TYM5-2	Q5TYM5	FA72A_HUMAN	reviewed	Protein FAM72A (Latent membrane protein 1-induced protein) (LMP1-induced protein) (LMPIP)	FAM72A UGENE	Homo sapiens (Human)	149
ENSG00000266028		O75044	SRGP2_HUMAN	reviewed	SLIT-ROBO Rho GTPase-activating protein 2 (srGAP2) (Formin-binding protein 2) (Rho GTPase-activating protein 34)	SRGAP2 ARHGAP34 FNBP2 KIAA0456 SRGAP2A	Homo sapiens (Human)	1071
ENSG00000263528	ENSG00000263528 -> Q14164-1;Q14164-2	Q14164	IKKE_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151	Homo sapiens (Human)	716
ENSG00000143486	ENSG00000143486 -> P41214-1;P41214-2	P41214	EIF2D_HUMAN	reviewed	Eukaryotic translation initiation factor 2D (eIF2d) (Hepatocellular carcinoma-associated antigen 56) (Ligatin)	EIF2D HCA56 LGTN	Homo sapiens (Human)	584
ENSG00000143479	ENSG00000143479 -> O43781-1;O43781-2	O43781	DYRK3_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	DYRK3	Homo sapiens (Human)	588
ENSG00000162889	ENSG00000162889 -> P49137-1;P49137-2	P49137	MAPK2_HUMAN	reviewed	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	Homo sapiens (Human)	400
ENSG00000180667	ENSG00000180667 -> Q5VVQ6-1;Q5VVQ6-2	Q5VVQ6	OTU1_HUMAN	reviewed	Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2)	YOD1 DUBA8 HIN7 OTUD2 PRO0907	Homo sapiens (Human)	348
ENSG00000123836	ENSG00000123836 -> O60825-1;O60825-2	O60825	F262_HUMAN	reviewed	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB2	Homo sapiens (Human)	505
ENSG00000196352	ENSG00000196352 -> P08174-1;P08174-2;P08174-3;P08174-5	P08174	DAF_HUMAN	reviewed	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
ENSG00000117335	ENSG00000117335 -> P15529-1;P15529-11;P15529-12;P15529-16;P15529-2;P15529-3;P15529-4;P15529-6;P15529-7;P15529-9	P15529	MCP_HUMAN	reviewed	Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46)	CD46 MCP MIC10	Homo sapiens (Human)	392
ENSG00000123689		P27469	G0S2_HUMAN	reviewed	G0/G1 switch protein 2 (G0/G1 switch regulatory protein 2) (Putative lymphocyte G0/G1 switch gene)	G0S2	Homo sapiens (Human)	103
ENSG00000162757		Q96LT6	CA074_HUMAN	reviewed	UPF0739 protein C1orf74	C1orf74	Homo sapiens (Human)	269
ENSG00000117595	ENSG00000117595 -> O14896-1;O14896-2	O14896	IRF6_HUMAN	reviewed	Interferon regulatory factor 6 (IRF-6)	IRF6	Homo sapiens (Human)	467
ENSG00000117597		Q68CQ4	DIEXF_HUMAN	reviewed	Digestive organ expansion factor homolog	DIEXF C1orf107 DEF	Homo sapiens (Human)	756
ENSG00000054392	ENSG00000054392 -> Q5VTY9-1;Q5VTY9-5;Q5VTY9-6;Q5VTY9-7	Q5VTY9	HHAT_HUMAN	reviewed	Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Melanoma antigen recognized by T-cells 2) (MART-2) (Skinny hedgehog protein 1)	HHAT MART2 SKI1	Homo sapiens (Human)	493
ENSG00000117625	ENSG00000117625 -> Q9P2K3-1;Q9P2K3-2;Q9P2K3-3;Q9P2K3-4	Q9P2K3	RCOR3_HUMAN	reviewed	REST corepressor 3	RCOR3 KIAA1343	Homo sapiens (Human)	495
ENSG00000082512	ENSG00000082512 -> O00463-1	O00463	TRAF5_HUMAN	reviewed	TNF receptor-associated factor 5 (RING finger protein 84)	TRAF5 RNF84	Homo sapiens (Human)	557
ENSG00000170385		Q9Y6M5	ZNT1_HUMAN	reviewed	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1)	SLC30A1 ZNT1	Homo sapiens (Human)	507
ENSG00000117650	ENSG00000117650 -> P51955-1;P51955-2	P51955	NEK2_HUMAN	reviewed	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1	Homo sapiens (Human)	445
ENSG00000123684		Q92604	LGAT1_HUMAN	reviewed	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (EC 2.3.1.-)	LPGAT1 FAM34A KIAA0205	Homo sapiens (Human)	370
ENSG00000143493	ENSG00000143493 -> Q9NVH2-1;Q9NVH2-2;Q9NVH2-3;Q9NVH2-4	Q9NVH2	INT7_HUMAN	reviewed	Integrator complex subunit 7 (Int7)	INTS7 C1orf73	Homo sapiens (Human)	962
ENSG00000143476	ENSG00000143476 -> Q9NZJ0-1	Q9NZJ0	DTL_HUMAN	reviewed	Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)	DTL CDT2 CDW1 DCAF2 L2DTL RAMP	Homo sapiens (Human)	730
ENSG00000066027	ENSG00000066027 -> Q15172-1;Q15172-2	Q15172	2A5A_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)	PPP2R5A	Homo sapiens (Human)	486
ENSG00000065600	ENSG00000065600 -> Q9H813-1;Q9H813-2	Q9H813	PACC1_HUMAN	reviewed	Proton-activated chloride channel (PAC) (hPAC) (Transmembrane protein 206)	PACC1 C1orf75 TMEM206	Homo sapiens (Human)	350
ENSG00000117691		Q9UMX5	NENF_HUMAN	reviewed	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	NENF CIR2 SPUF	Homo sapiens (Human)	172
ENSG00000162772	ENSG00000162772 -> P18847-1;P18847-3;P18847-4;P18847-5	P18847	ATF3_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-3 (cAMP-dependent transcription factor ATF-3) (Activating transcription factor 3)	ATF3	Homo sapiens (Human)	181
ENSG00000117697	ENSG00000117697 -> Q96IY1-1;Q96IY1-2	Q96IY1	NSL1_HUMAN	reviewed	Kinetochore-associated protein NSL1 homolog	NSL1 C1orf48 DC31 DC8 MIS14	Homo sapiens (Human)	281
ENSG00000203705	ENSG00000203705 -> Q17R31-1;Q17R31-2;Q17R31-3;Q17R31-4;Q17R31-5	Q17R31	TATD3_HUMAN	reviewed	Putative deoxyribonuclease TATDN3 (EC 3.1.21.-)	TATDN3	Homo sapiens (Human)	274
ENSG00000162769	ENSG00000162769 -> Q9Y5Y0-1	Q9Y5Y0	FLVC1_HUMAN	reviewed	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR)	FLVCR1 FLVCR	Homo sapiens (Human)	555
ENSG00000174606	ENSG00000174606 -> Q5VTE6-1;Q5VTE6-2	Q5VTE6	ANGE2_HUMAN	reviewed	Protein angel homolog 2	ANGEL2 KIAA0759L	Homo sapiens (Human)	544
ENSG00000136643	ENSG00000136643 -> Q96S38-1;Q96S38-2	Q96S38	KS6C1_HUMAN	reviewed	Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein)	RPS6KC1 RPK118	Homo sapiens (Human)	1066
ENSG00000143499	ENSG00000143499 -> Q9NRG4-1	Q9NRG4	SMYD2_HUMAN	reviewed	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.43) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	SMYD2 KMT3C	Homo sapiens (Human)	433
ENSG00000152104		Q15678	PTN14_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	PTPN14 PEZ PTPD2	Homo sapiens (Human)	1187
ENSG00000117724		P49454	CENPF_HUMAN	reviewed	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3114
ENSG00000136636	ENSG00000136636 -> Q9Y597-1	Q9Y597	KCTD3_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD3 (Renal carcinoma antigen NY-REN-45)	KCTD3	Homo sapiens (Human)	815
ENSG00000092978	ENSG00000092978 -> Q9NW75-1;Q9NW75-2	Q9NW75	GPTC2_HUMAN	reviewed	G patch domain-containing protein 2	GPATCH2 GPATC2	Homo sapiens (Human)	528
ENSG00000067533		Q9Y3B9	RRP15_HUMAN	reviewed	RRP15-like protein (Ribosomal RNA-processing protein 15)	RRP15 KIAA0507 CGI-115	Homo sapiens (Human)	282
ENSG00000092969	ENSG00000092969 -> P61812-1;P61812-2	P61812	TGFB2_HUMAN	reviewed	Transforming growth factor beta-2 proprotein (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF) [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-2 (TGF-beta-2)]	TGFB2	Homo sapiens (Human)	414
ENSG00000143353	ENSG00000143353 -> Q5VWZ2-1;Q5VWZ2-2	Q5VWZ2	LYPL1_HUMAN	reviewed	Lysophospholipase-like protein 1 (EC 3.1.2.-)	LYPLAL1	Homo sapiens (Human)	237
ENSG00000136628		P07814	SYEP_HUMAN	reviewed	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]	EPRS GLNS PARS QARS QPRS PIG32	Homo sapiens (Human)	1512
ENSG00000162813	ENSG00000162813 -> O95861-1;O95861-3;O95861-4	O95861	BPNT1_HUMAN	reviewed	3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP)	BPNT1	Homo sapiens (Human)	308
ENSG00000067704		Q9NSE4	SYIM_HUMAN	reviewed	Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	IARS2	Homo sapiens (Human)	1012
ENSG00000118873	ENSG00000118873 -> Q9H2M9-1	Q9H2M9	RBGPR_HUMAN	reviewed	Rab3 GTPase-activating protein non-catalytic subunit (RGAP-iso) (Rab3 GTPase-activating protein 150 kDa subunit) (Rab3-GAP p150) (Rab3-GAP150) (Rab3-GAP regulatory subunit)	RAB3GAP2 KIAA0839	Homo sapiens (Human)	1393
ENSG00000143507	ENSG00000143507 -> Q9Y6W6-1	Q9Y6W6	DUS10_HUMAN	reviewed	Dual specificity protein phosphatase 10 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5)	DUSP10 MKP5	Homo sapiens (Human)	482
ENSG00000143512		Q6UWX4	HIPL2_HUMAN	reviewed	HHIP-like protein 2	HHIPL2 HHIP3 KIAA1822L UNQ841/PRO1779	Homo sapiens (Human)	724
ENSG00000143498	ENSG00000143498 -> Q15573-1;Q15573-2	Q15573	TAF1A_HUMAN	reviewed	TATA box-binding protein-associated factor RNA polymerase I subunit A (RNA polymerase I-specific TBP-associated factor 48 kDa) (TAFI48) (TATA box-binding protein-associated factor 1A) (TBP-associated factor 1A) (Transcription factor SL1) (Transcription initiation factor SL1/TIF-IB subunit A)	TAF1A	Homo sapiens (Human)	450
ENSG00000154305	ENSG00000154305 -> Q5JRA6-1;Q5JRA6-4	Q5JRA6	TGO1_HUMAN	reviewed	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	MIA3 KIAA0268 TANGO UNQ6077/PRO20088	Homo sapiens (Human)	1907
ENSG00000186063	ENSG00000186063 -> Q96BJ3-1;Q96BJ3-3	Q96BJ3	AIDA_HUMAN	reviewed	Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)	AIDA C1orf80	Homo sapiens (Human)	306
ENSG00000162819	ENSG00000162819 -> Q5VW32-1;Q5VW32-2	Q5VW32	BROX_HUMAN	reviewed	BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein)	BROX BROFTI C1orf58	Homo sapiens (Human)	411
ENSG00000154309		Q96F81	DISP1_HUMAN	reviewed	Protein dispatched homolog 1	DISP1 DISPA	Homo sapiens (Human)	1524
ENSG00000162909	ENSG00000162909 -> P17655-1;P17655-2	P17655	CAN2_HUMAN	reviewed	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2 CANPL2	Homo sapiens (Human)	700
ENSG00000143514	ENSG00000143514 -> Q13625-2;Q13625-3	Q13625	ASPP2_HUMAN	reviewed	Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2)	TP53BP2 ASPP2 BBP	Homo sapiens (Human)	1128
ENSG00000143756	ENSG00000143756 -> Q9NVF7-1;Q9NVF7-2	Q9NVF7	FBX28_HUMAN	reviewed	F-box only protein 28	FBXO28 CENP-30 KIAA0483	Homo sapiens (Human)	368
ENSG00000143753		O15121	DEGS1_HUMAN	reviewed	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Cell migration-inducing gene 15 protein) (Degenerative spermatocyte homolog 1) (Membrane lipid desaturase)	DEGS1 DES1 MLD MIG15	Homo sapiens (Human)	323
ENSG00000143748	ENSG00000143748 -> O15381-1;O15381-2;O15381-3;O15381-4;O15381-5	O15381	NVL_HUMAN	reviewed	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL NVL2	Homo sapiens (Human)	856
ENSG00000143771	ENSG00000143771 -> Q9P003-1;Q9P003-2	Q9P003	CNIH4_HUMAN	reviewed	Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4)	CNIH4 HSPC163	Homo sapiens (Human)	139
ENSG00000162923	ENSG00000162923 -> Q9H7D7-1	Q9H7D7	WDR26_HUMAN	reviewed	WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2)	WDR26 CDW2 MIP2 PRO0852	Homo sapiens (Human)	661
ENSG00000143786		Q8TBE1	CNIH3_HUMAN	reviewed	Protein cornichon homolog 3 (CNIH-3) (Cornichon family AMPA receptor auxiliary protein 3)	CNIH3	Homo sapiens (Human)	160
